,0
0,3072.0
1,3075.0
2,3076.0
3,3080.0
4,3081.0
5,3082.0
6,3084.0
7,3093.0
8,3100.0
9,3101.0
10,3102.0
11,3103.0
12,3104.0
13,3108.0
14,3109.0
15,3110.0
16,3111.0
17,3112.0
18,3113.0
19,3114.0
20,3115.0
21,3116.0
22,3117.0
23,3119.0
24,3120.0
25,3121.0
26,3122.0
27,3137.0
28,3138.0
29,3139.0
30,3140.0
31,3141.0
32,3144.0
33,3145.0
34,3146.0
35,3147.0
36,3148.0
37,3156.0
38,3157.0
39,3158.0
40,3159.0
41,3160.0
42,3161.0
43,3162.0
44,3163.0
45,3164.0
46,3165.0
47,3166.0
48,3169.0
49,3170.0
50,3171.0
51,3172.0
52,3173.0
53,3174.0
54,3175.0
55,3176.0
56,3177.0
57,3178.0
58,3179.0
59,3180.0
60,3181.0
61,3182.0
62,3183.0
63,3184.0
64,3194.0
65,3200.0
66,3210.0
67,3211.0
68,3212.0
69,3213.0
70,3214.0
71,3215.0
72,3216.0
73,3217.0
74,3218.0
75,3219.0
76,3220.0
77,3225.0
78,3226.0
79,3227.0
80,3228.0
81,3229.0
82,3230.0
83,3231.0
84,3240.0
85,3255.0
86,3262.0
87,3263.0
88,3264.0
89,3265.0
90,3270.0
91,3272.0
92,3273.0
93,3281.0
94,3282.0
95,3283.0
96,3284.0
97,3288.0
98,3290.0
99,3292.0
100,3294.0
101,3295.0
102,3297.0
103,3299.0
104,3300.0
105,3302.0
106,3311.0
107,3312.0
108,3314.0
109,3316.0
110,3318.0
111,3319.0
112,3320.0
113,3321.0
114,3322.0
115,3323.0
116,3324.0
117,3326.0
118,3330.0
119,3332.0
120,3333.0
121,3334.0
122,3335.0
123,3336.0
124,3337.0
125,3338.0
126,3339.0
127,3340.0
128,3341.0
129,3350.0
130,3351.0
131,3354.0
132,3358.0
133,3359.0
134,3360.0
135,3361.0
136,3364.0
137,3365.0
138,3366.0
139,3368.0
140,3369.0
141,3378.0
142,3381.0
143,3383.0
144,3384.0
145,3385.0
146,3386.0
147,3388.0
148,3389.0
149,3391.0
150,3392.0
151,3393.0
152,3395.0
153,3401.0
154,3402.0
155,3407.0
156,3409.0
157,3410.0
158,3414.0
159,3416.0
160,3417.0
161,3418.0
162,3419.0
163,3420.0
164,3421.0
165,3422.0
166,3424.0
167,3425.0
168,3426.0
169,3427.0
170,3428.0
171,3429.0
172,3430.0
173,3431.0
174,3432.0
175,3433.0
176,3434.0
177,3435.0
178,3436.0
179,3437.0
180,3438.0
181,3443.0
182,3444.0
183,3445.0
184,3446.0
185,3447.0
186,3448.0
187,3449.0
188,3450.0
189,3451.0
190,3452.0
191,3453.0
192,3454.0
193,3455.0
194,3456.0
195,3457.0
196,3458.0
197,3463.0
198,3466.0
199,3467.0
200,3468.0
201,3469.0
202,3471.0
203,3474.0
204,3480.0
205,3481.0
206,3482.0
207,3483.0
208,3484.0
209,3485.0
210,3486.0
211,3487.0
212,3488.0
213,3489.0
214,3490.0
215,3491.0
216,3492.0
217,3493.0
218,3494.0
219,3495.0
220,3496.0
221,3498.0
222,3499.0
223,3500.0
224,3501.0
225,3502.0
226,3504.0
227,3506.0
228,3517.0
229,3518.0
230,3519.0
231,3520.0
232,3521.0
233,3522.0
234,3523.0
235,3524.0
236,3525.0
237,3526.0
238,3528.0
239,3529.0
240,3530.0
241,3531.0
242,3532.0
243,3533.0
244,3534.0
245,3537.0
246,3549.0
247,3555.0
248,3556.0
249,3557.0
250,3559.0
251,3560.0
252,3561.0
253,3562.0
254,3564.0
255,3567.0
256,3569.0
257,3571.0
258,3572.0
259,3574.0
260,3577.0
261,3580.0
262,3582.0
263,3583.0
264,3584.0
265,3586.0
266,3587.0
267,3588.0
268,3594.0
269,3595.0
270,3596.0
271,3597.0
272,3598.0
273,3599.0
274,3601.0
275,3602.0
276,3603.0
277,3604.0
278,3605.0
279,3606.0
280,3607.0
281,3608.0
282,3613.0
283,3616.0
284,3617.0
285,3618.0
286,3619.0
287,3621.0
288,3622.0
289,3623.0
290,3624.0
291,3625.0
292,3626.0
293,3627.0
294,3628.0
295,3629.0
296,3630.0
297,3631.0
298,3632.0
299,3633.0
300,3634.0
301,3635.0
302,3636.0
303,3637.0
304,3638.0
305,3639.0
306,3640.0
307,3641.0
308,3642.0
309,3644.0
310,3645.0
311,3646.0
312,3647.0
313,3649.0
314,3652.0
315,3655.0
316,3656.0
317,3657.0
318,3662.0
319,3663.0
320,3664.0
321,3665.0
322,3666.0
323,3667.0
324,3668.0
325,3669.0
326,3670.0
327,3671.0
328,3672.0
